,id,user,tweet,location,created_at,retweet_count,class
4,1427542334963605511,nuceraleo,"@WIRED Climate change is increasing the appearance of more violent weather phenomena, drought, fires, the death of animal and plant species!","Naples, Italy",2021-08-17 08:06:29,0,famine
5,1427540945260720136,EmiratesNBD_AE,We are excited to join the #PricelessPlanet Coalition which is committed to planting 100 million trees over five ye… https://t.co/zA5RA0t46z,United Arab Emirates,2021-08-17 08:00:58,0,greentalk
15,1427533126084014087,COADKENYA,CLIMATE CHANGE negatively IMPACTS agricultural production and causes BREAKDOWNS in our food systems. This dispropor… https://t.co/1umJDVMxv2,"Iten, Kenya",2021-08-17 07:29:54,6,drought
16,1427531810662199313,ForumClimatique,"#1 We are not doing enough
Not even close
Let's buckle up on #ClimateAction
#modelpeaceforum
 https://t.co/ZLFH3LGFuE",Africa ,2021-08-17 07:24:40,1,greentalk
18,1427526452623208453,Dasr,California doesn't need conservative propaganda to save our water supply &amp; somehow stop wildfires. Let's put Califo… https://t.co/0bsaqDfZ5h,Pacific North West,2021-08-17 07:03:23,0,water
24,1427520370102480915,SueMagee20,Here's a link to my latest seed #45 - thanks to all who water it and help it become a REAL tree growing somewhere i… https://t.co/67fhyp5EE9,"Queluz, Portugal",2021-08-17 06:39:12,0,water
25,1427520052895657991,ighh_kw,Climate change endangers quality of life in Kuwait….stark warning just published. #climateaction #climatecrisis  https://t.co/QQat41BhM7,Kuwait,2021-08-17 06:37:57,3,greentalk
28,1427518126535569412,YasinKuso,"@KipkenyMaurice @Cherono_Ke @Shark_Kenya Which north eastern? We still don’t have electricity ⚡️,no water 💧,hard hi… https://t.co/wkwDmm3zqp","Wajir, Kenya",2021-08-17 06:30:18,0,water
29,1427517621155639326,resonant_theory,"@neiltyson @bgreene @LKrauss1 I would like you to think why using Hydrogen for energy could create a ""climate chang… https://t.co/glip6WITny","Athens, Greece",2021-08-17 06:28:17,0,greentalk
30,1427511504983797762,SiyaBiniza,"policymakers with regular assessments of the scientific basis of climate change, its impacts and future risks, and… https://t.co/7N1rQXRWlh",Johannesburg,2021-08-17 06:03:59,0,greentalk
38,1427498587462815744,TyronHunter,@rugbycology there'll always be something to fight about. With climate change looming it will most likely be about water.,"Johannesburg, South Africa",2021-08-17 05:12:39,0,water
51,1427439282797649923,jkr_on_the_web,"The simple answer to that question: by taking #ClimateAction 
https://t.co/UVZaZj9Jos",varies,2021-08-17 01:17:00,0,greentalk
61,1427395718055186436,MuhannadKsaTech,"@TheQuartering drought in a man made oasis in the middle of the desert, how is that possible? it must be the climate change","California, USA/ Riyadh, KSA",2021-08-16 22:23:53,0,famine
